id,title,category,code,variant,stars,sources,notes,owned,wanted
af-1988-01,Action Force (NO) 1988 #01,confirmed,1988-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1988-02,Action Force (NO) 1988 #02,confirmed,1988-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1988-03,Action Force (NO) 1988 #03,confirmed,1988-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1988-04,Action Force (NO) 1988 #04,confirmed,1988-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1988-05,Action Force (NO) 1988 #05,confirmed,1988-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1988-06,Action Force (NO) 1988 #06,confirmed,1988-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-01,Action Force (NO) 1989 #01,confirmed,1989-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-02,Action Force (NO) 1989 #02,confirmed,1989-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-03,Action Force (NO) 1989 #03,confirmed,1989-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-04,Action Force (NO) 1989 #04,confirmed,1989-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-05,Action Force (NO) 1989 #05,confirmed,1989-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-06,Action Force (NO) 1989 #06,confirmed,1989-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-07,Action Force (NO) 1989 #07,confirmed,1989-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-08,Action Force (NO) 1989 #08,confirmed,1989-08,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-09,Action Force (NO) 1989 #09,confirmed,1989-09,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-10,Action Force (NO) 1989 #10,confirmed,1989-10,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-11,Action Force (NO) 1989 #11,confirmed,1989-11,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1989-12,Action Force (NO) 1989 #12,confirmed,1989-12,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-01,Action Force (NO) 1990 #01,confirmed,1990-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-02,Action Force (NO) 1990 #02,confirmed,1990-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-03,Action Force (NO) 1990 #03,confirmed,1990-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-04,Action Force (NO) 1990 #04,confirmed,1990-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-05,Action Force (NO) 1990 #05,confirmed,1990-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-06,Action Force (NO) 1990 #06,confirmed,1990-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-07,Action Force (NO) 1990 #07,confirmed,1990-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-08,Action Force (NO) 1990 #08,confirmed,1990-08,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-09,Action Force (NO) 1990 #09,confirmed,1990-09,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-10,Action Force (NO) 1990 #10,confirmed,1990-10,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-11,Action Force (NO) 1990 #11,confirmed,1990-11,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1990-12,Action Force (NO) 1990 #12,confirmed,1990-12,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
af-1991-01,Action Force (NO) 1991 #01,confirmed,1991-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
