id,title,category,code,variant,stars,sources,notes,owned,wanted
motu-giveaway-1983-01,Masters of the Universe Giveaway (NO) 1983 #01,confirmed,1983-01,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1983-02,Masters of the Universe Giveaway (NO) 1983 #02,confirmed,1983-02,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1984-01,Masters of the Universe Giveaway (NO) 1984 #01,confirmed,1984-01,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1984-02,Masters of the Universe Giveaway (NO) 1984 #02,confirmed,1984-02,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1985-01,Masters of the Universe Giveaway (NO) 1985 #01,confirmed,1985-01,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1985-02,Masters of the Universe Giveaway (NO) 1985 #02,confirmed,1985-02,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1985-03,Masters of the Universe Giveaway (NO) 1985 #03,confirmed,1985-03,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-giveaway-1985-04,Masters of the Universe Giveaway (NO) 1985 #04,confirmed,1985-04,Giveaway (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-01,Starfighter (Masters of the Universe) (NO) 1987 #01,confirmed,1987-01,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-02,Starfighter (Masters of the Universe) (NO) 1987 #02,confirmed,1987-02,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-03,Starfighter (Masters of the Universe) (NO) 1987 #03,confirmed,1987-03,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-04,Starfighter (Masters of the Universe) (NO) 1987 #04,confirmed,1987-04,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-05,Starfighter (Masters of the Universe) (NO) 1987 #05,confirmed,1987-05,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-06,Starfighter (Masters of the Universe) (NO) 1987 #06,confirmed,1987-06,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1987-07,Starfighter (Masters of the Universe) (NO) 1987 #07,confirmed,1987-07,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-01,Starfighter (Masters of the Universe) (NO) 1988 #01,confirmed,1988-01,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-02,Starfighter (Masters of the Universe) (NO) 1988 #02,confirmed,1988-02,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-03,Starfighter (Masters of the Universe) (NO) 1988 #03,confirmed,1988-03,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-04,Starfighter (Masters of the Universe) (NO) 1988 #04,confirmed,1988-04,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-05,Starfighter (Masters of the Universe) (NO) 1988 #05,confirmed,1988-05,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-06,Starfighter (Masters of the Universe) (NO) 1988 #06,confirmed,1988-06,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-07,Starfighter (Masters of the Universe) (NO) 1988 #07,confirmed,1988-07,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-08,Starfighter (Masters of the Universe) (NO) 1988 #08,confirmed,1988-08,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-09,Starfighter (Masters of the Universe) (NO) 1988 #09,confirmed,1988-09,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-10,Starfighter (Masters of the Universe) (NO) 1988 #10,confirmed,1988-10,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-11,Starfighter (Masters of the Universe) (NO) 1988 #11,confirmed,1988-11,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-starfighter-1988-12,Starfighter (Masters of the Universe) (NO) 1988 #12,confirmed,1988-12,Starfighter (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-film-1987-01,Masters of the Universe Film Spesial (NO) 1987 #01,confirmed,1987-01,Film spesial (NO),3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-1990-01,Masters of the Universe (NO) 1990 #01,confirmed,1990-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-1990-02,Masters of the Universe (NO) 1990 #02,confirmed,1990-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
motu-1990-03,Masters of the Universe (NO) 1990 #03,confirmed,1990-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
