id,title,category,code,variant,stars,sources,notes,owned,wanted
sw-1983-01,Star Wars (NO) 1983 #01,confirmed,1983-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-01,Star Wars (NO) 1984 #01,confirmed,1984-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-02,Star Wars (NO) 1984 #02,confirmed,1984-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-03,Star Wars (NO) 1984 #03,confirmed,1984-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-04,Star Wars (NO) 1984 #04,confirmed,1984-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-05,Star Wars (NO) 1984 #05,confirmed,1984-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1984-06,Star Wars (NO) 1984 #06,confirmed,1984-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1985-01,Star Wars (NO) 1985 #01,confirmed,1985-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1985-02,Star Wars (NO) 1985 #02,confirmed,1985-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1985-03,Star Wars (NO) 1985 #03,confirmed,1985-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1985-04,Star Wars (NO) 1985 #04,confirmed,1985-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
sw-1985-05,Star Wars (NO) 1985 #05,confirmed,1985-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
