id,title,category,code,variant,stars,sources,notes,owned,wanted
tf-1987-01,Transformers (NO) 1987 #01,confirmed,1987-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-02,Transformers (NO) 1987 #02,confirmed,1987-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-03,Transformers (NO) 1987 #03,confirmed,1987-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-04,Transformers (NO) 1987 #04,confirmed,1987-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-05,Transformers (NO) 1987 #05,confirmed,1987-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-06,Transformers (NO) 1987 #06,confirmed,1987-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1987-07,Transformers (NO) 1987 #07,confirmed,1987-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-01,Transformers (NO) 1988 #01,confirmed,1988-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-02,Transformers (NO) 1988 #02,confirmed,1988-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-03,Transformers (NO) 1988 #03,confirmed,1988-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-04,Transformers (NO) 1988 #04,confirmed,1988-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-05,Transformers (NO) 1988 #05,confirmed,1988-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-06,Transformers (NO) 1988 #06,confirmed,1988-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1988-07,Transformers (NO) 1988 #07,confirmed,1988-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-01,Transformers (NO) 1989 #01,confirmed,1989-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-02,Transformers (NO) 1989 #02,confirmed,1989-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-03,Transformers (NO) 1989 #03,confirmed,1989-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-04,Transformers (NO) 1989 #04,confirmed,1989-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-05,Transformers (NO) 1989 #05,confirmed,1989-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-06,Transformers (NO) 1989 #06,confirmed,1989-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-07,Transformers (NO) 1989 #07,confirmed,1989-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-08,Transformers (NO) 1989 #08,confirmed,1989-08,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1989-09,Transformers (NO) 1989 #09,confirmed,1989-09,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-01,Transformers (NO) 1990 #01,confirmed,1990-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-02,Transformers (NO) 1990 #02,confirmed,1990-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-03,Transformers (NO) 1990 #03,confirmed,1990-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-04,Transformers (NO) 1990 #04,confirmed,1990-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-05,Transformers (NO) 1990 #05,confirmed,1990-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-06,Transformers (NO) 1990 #06,confirmed,1990-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-07,Transformers (NO) 1990 #07,confirmed,1990-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tf-1990-08,Transformers (NO) 1990 #08,confirmed,1990-08,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
