id,title,category,code,variant,stars,sources,notes,owned,wanted
tmht-1990-01,Teenage Mutant Hero Turtles (NO) 1990 #01,confirmed,1990-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-01,Teenage Mutant Hero Turtles (NO) 1991 #01,confirmed,1991-01,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-02,Teenage Mutant Hero Turtles (NO) 1991 #02,confirmed,1991-02,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-03,Teenage Mutant Hero Turtles (NO) 1991 #03,confirmed,1991-03,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-04,Teenage Mutant Hero Turtles (NO) 1991 #04,confirmed,1991-04,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-05,Teenage Mutant Hero Turtles (NO) 1991 #05,confirmed,1991-05,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-06,Teenage Mutant Hero Turtles (NO) 1991 #06,confirmed,1991-06,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-07,Teenage Mutant Hero Turtles (NO) 1991 #07,confirmed,1991-07,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-08,Teenage Mutant Hero Turtles (NO) 1991 #08,confirmed,1991-08,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-09,Teenage Mutant Hero Turtles (NO) 1991 #09,confirmed,1991-09,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-10,Teenage Mutant Hero Turtles (NO) 1991 #10,confirmed,1991-10,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-11,Teenage Mutant Hero Turtles (NO) 1991 #11,confirmed,1991-11,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-12,Teenage Mutant Hero Turtles (NO) 1991 #12,confirmed,1991-12,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
tmht-1991-13,Teenage Mutant Hero Turtles (NO) 1991 #13,confirmed,1991-13,Norsk utgave,3,minetegneserier.no,Oppføringen er basert på minetegneserier.no sin utgaveliste.,false,false
