id,title,category,code,variant,stars,sources,notes,owned,wanted
1,007 Racing,uncertain,SLES-03355,PAL,0,"Redump (paste)","Editions: Original; Platinum",false,false
2,007: The World Is Not Enough,confirmed,SLES-03138,PAL,0,"Redump (paste)","Editions: Original; (English release exists but removed because Swedish exists)",false,false
3,007: Tomorrow Never Dies,uncertain,SLES-01324,PAL,0,"Redump (paste)","Editions: Original; Platinum",false,false
4,100% Star,uncertain,SLES-03784,PAL,0,"Redump (paste)","Editions: Original",false,false
5,2002 FIFA World Cup,confirmed,SLES-03830,PAL,0,"Redump (paste)","Editions: Original; Languages in allowed set: English+Swedish",false,false
6,2Xtreme,uncertain,SCES-00400,PAL,0,"Redump (paste)","Editions: Original",false,false
7,"3, 2, 1, Smurf! My First Racing Game",uncertain,SLES-03120,PAL,0,"Redump (paste)","Editions: Original",false,false
8,360 Three Sixty,uncertain,SLES-02089,PAL,0,"Redump (paste)","Editions: Original; (kept English; other languages ignored)",false,false
9,3D Lemmings,uncertain,SCES-00009,PAL,0,"Redump (paste)","Editions: Original",false,false
10,4-4-2 Soccer,uncertain,SLES-00095,PAL,0,"Redump (paste)","Editions: Original",false,false
11,40 Winks,uncertain,SLES-01937,PAL,0,"Redump (paste)","Editions: Original; (Demo ignored)",false,false
12,4x4 World Trophy,uncertain,SLES-02017,PAL,0,"Redump (paste)","Editions: Original",false,false
13,5 Star Racing,uncertain,SLES-04064,PAL,0,"Redump (paste)","Editions: Original",false,false
14,900X Golden Finger,uncertain,,PAL,0,"Redump (paste)","IGNORED: Unlicensed (and not Original/Platinum)",false,false
15,A.IV: Evolution Global,uncertain,SCES-00290,PAL,0,"Redump (paste)","Editions: Original; (kept English; other languages ignored)",false,false
16,Absolute Football,uncertain,SLES-01341,PAL,0,"Redump (paste)","Editions: Original; (kept English; other languages ignored)",false,false
17,Ace Combat 2,uncertain,SCES-00699,PAL,0,"Redump (paste)","Editions: Original",false,false
18,Ace Combat 3: Electrosphere,uncertain,SCES-02066,PAL,0,"Redump (paste)","Editions: Original; Platinum",false,false
19,Action Bass,uncertain,SLES-03105,PAL,0,"Redump (paste)","Editions: Original",false,false
20,Action Man: Destruction X,uncertain,SLES-03083,PAL,0,"Redump (paste)","Editions: Original",false,false
21,Action Man: Mission Xtreme,confirmed,SLES-01761,PAL,0,"Redump (paste)","Editions: Original; (also has EDC entry ignored). Allowed langs include Danish+Norwegian; English removed due to Nordic presence.",false,false
22,Action Replay,uncertain,,PAL,0,"Redump (paste)","IGNORED: Unlicensed (not Original/Platinum)",false,false
23,Actua Golf,uncertain,SLES-00015,PAL,0,"Redump (paste)","Editions: Original",false,false
24,Actua Golf 2,uncertain,SLES-00044,PAL,0,"Redump (paste)","Editions: Original",false,false
25,Actua Golf 3,uncertain,SLES-01042,PAL,0,"Redump (paste)","Editions: Original",false,false
26,Actua Ice Hockey,confirmed,SLES-00188,PAL,0,"Redump (paste)","Editions: Original; (Swedish present so English removed; other langs ignored)",false,false
27,Actua Ice Hockey 2,uncertain,SLES-01226,PAL,0,"Redump (paste)","Editions: Original",false,false
28,Actua Pool,uncertain,SLES-01647,PAL,0,"Redump (paste)","Editions: Original",false,false
29,Actua Soccer,uncertain,SLES-00014,PAL,0,"Redump (paste)","Editions: Original; Platinum (Rev 1 Platinum noted)",false,false
30,Actua Soccer 2,uncertain,SLES-00021,PAL,0,"Redump (paste)","Editions: Original",false,false
31,Actua Soccer 3,uncertain,SLES-01210,PAL,0,"Redump (paste)","Editions: Original",false,false
32,Actua Soccer: Club Edition,uncertain,SLES-00190,PAL,0,"Redump (paste)","Editions: Original",false,false
33,Actua Tennis,uncertain,SLES-00265,PAL,0,"Redump (paste)","Editions: Original",false,false
34,Adiboo & Paziral's Secret,uncertain,SLES-04108,PAL,0,"Redump (paste)","Editions: Original",false,false
35,Adidas Power Soccer,uncertain,SLES-00189,PAL,0,"Redump (paste)","Editions: Original; Platinum",false,false
36,Adidas Power Soccer 2,uncertain,SLES-00857,PAL,0,"Redump (paste)","Editions: Original; (Demo ignored)",false,false
37,Adidas Power Soccer 98,uncertain,SLES-01239,PAL,0,"Redump (paste)","Editions: Original",false,false
38,Adidas Power Soccer International '97,uncertain,SLES-00270,PAL,0,"Redump (paste)","Editions: Original",false,false
39,Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft,uncertain,SLES-00386,PAL,0,"Redump (paste)","Editions: Original",false,false
40,AFL 99,uncertain,SLES-01875,PAL,0,"Redump (paste)","Editions: Original",false,false
41,Agent Armstrong,uncertain,SLES-00474,PAL,0,"Redump (paste)","Editions: Original",false,false
42,Agile Warrior: F-111X,uncertain,SLES-00124,PAL,0,"Redump (paste)","Editions: Original",false,false
43,Air Combat,uncertain,SCES-00007,PAL,0,"Redump (paste)","Editions: Original; Platinum (EDC/Value Series ignored)",false,false
44,Air Hockey,uncertain,SLES-03743,PAL,0,"Redump (paste)","IGNORED: not Original/Platinum (Pocket Price Midas)",false,false
45,Air Race,uncertain,SLES-00762,PAL,0,"Redump (paste)","Editions: Original",false,false
46,Aironauts,uncertain,SLES-02137,PAL,0,"Redump (paste)","Editions: Original",false,false
47,Akuji the Heartless,uncertain,SLES-01298,PAL,0,"Redump (paste)","Editions: Original",false,false
48,Alex Ferguson's Player Manager 2001,uncertain,SLES-03150,PAL,0,"Redump (paste)","Editions: Original",false,false
49,Alex Ferguson's Player Manager 2002,uncertain,SLES-03775,PAL,0,"Redump (paste)","Editions: Original",false,false
50,Alfred Chicken,uncertain,SCES-03817,PAL,0,"Redump (paste)","Editions: Original; (Preview/Review/Promo ignored)",false,false
51,Alien Resurrection,uncertain,SLES-02913,PAL,0,"Redump (paste)","Editions: Original",false,false
52,Alien Trilogy,uncertain,SLES-00101,PAL,0,"Redump (paste)","Editions: Original; Platinum (Acclaimed Range ignored)",false,false
53,All Star Action,uncertain,SLES-04107,PAL,0,"Redump (paste)","Editions: Original; Discs: 1-2",false,false
54,All Star Boxing,uncertain,SLES-03958,PAL,0,"Redump (paste)","Editions: Original",false,false
55,All Star Racing,uncertain,SLES-03740,PAL,0,"Redump (paste)","Editions: Original",false,false
56,All Star Racing 2,uncertain,SLES-03933,PAL,0,"Redump (paste)","Editions: Original",false,false
57,All Star Soccer,uncertain,SLES-00747,PAL,0,"Redump (paste)","Editions: Original",false,false
58,All Star Tennis,uncertain,SLES-03963,PAL,0,"Redump (paste)","IGNORED: not Original/Platinum (Midas Touch)",false,false
59,All Star Tennis '99,uncertain,SLES-01433,PAL,0,"Redump (paste)","Editions: Original; (Demo ignored)",false,false
60,All Star Tennis 2000,uncertain,SLES-02764,PAL,0,"Redump (paste)","Editions: Original",false,false
61,All Star Watersports,uncertain,SLES-04060,PAL,0,"Redump (paste)","Editions: Original",false,false
62,Allied General,uncertain,SLES-00417,PAL,0,"Redump (paste)","Editions: Original",false,false
63,Alone in the Dark: Jack Is Back,uncertain,SLES-00037,PAL,0,"Redump (paste)","Editions: Original",false,false
64,Alone in the Dark: The New Nightmare,uncertain,SLES-02801,PAL,0,"Redump (paste)","Editions: Original; Discs: 1-2",false,false
65,Alundra,uncertain,SLES-01135,PAL,0,"Redump (paste)","Editions: Original; (Demo ignored)",false,false
66,Alundra 2: A New Legend Begins,uncertain,SLES-02600,PAL,0,"Redump (paste)","Editions: Original",false,false
67,The Amazing Virtual Sea-Monkeys,uncertain,SLES-03858,PAL,0,"Redump (paste)","Editions: Original",false,false
68,American Pool,uncertain,SLES-04037,PAL,0,"Redump (paste)","Editions: Original",false,false
69,Amerzone: The Explorer's Legacy,uncertain,SLES-02347,PAL,0,"Redump (paste)","Editions: Original; Discs: 1-2",false,false
70,Analog Controller Service Disc (Revised),uncertain,PEPX 94009,PAL,0,"Redump (paste)","Editions: Original",false,false
71,Anastasia,uncertain,SLES-02961,PAL,0,"Redump (paste)","IGNORED: not Original/Platinum (Pocket Price Midas)",false,false
72,Andretti Racing,uncertain,SLES-00438,PAL,0,"Redump (paste)","Editions: Original",false,false
73,Animal Football,uncertain,SLES-04071,PAL,0,"Redump (paste)","Editions: Original",false,false
74,Animal Snap: Rescue Them 2 by 2,uncertain,SLES-04036,PAL,0,"Redump (paste)","Editions: Original",false,false
75,Anna Kournikova's Smash Court Tennis,uncertain,SCES-01833,PAL,0,"Redump (paste)","Editions: Original",false,false
76,Ape Escape,uncertain,SCES-01564,PAL,0,"Redump (paste)","Editions: Original; Platinum",false,false
77,Apocalypse,uncertain,SLES-00460,PAL,0,"Redump (paste)","Editions: Original; (Demo ignored)",false,false
78,Aqua GT,uncertain,SLES-03390,PAL,0,"Redump (paste)","Editions: Original",false,false
79,Aquanaut's Holiday,uncertain,SCES-00241,PAL,0,"Redump (paste)","Editions: Original",false,false
80,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,uncertain,SLES-00466,PAL,0,"Redump (paste)","Editions: Original",false,false
81,Midway Presents Arcade's Greatest Hits: The Atari Collection 2,uncertain,SLES-00712,PAL,0,"Redump (paste)","Editions: Original",false,false
82,Midway Presents Arcade's Greatest Hits: The Midway Collection 2,uncertain,SLES-00739,PAL,0,"Redump (paste)","Editions: Original",false,false
83,Archer Maclean's 3D Pool,uncertain,SLES-04096,PAL,0,"Redump (paste)","Editions: Original",false,false
84,Area 51,uncertain,SLES-00578,PAL,0,"Redump (paste)","Editions: Original; (Midway Classics ignored)",false,false
85,Ark of Time,uncertain,SLES-00748,PAL,0,"Redump (paste)","Editions: Original",false,false
