id,title,category,code,variant,stars,sources,notes,owned,wanted,platform,source,verified_by_photo
,ActRaiser,confirmed,SNSP-AR-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Aladdin,confirmed,SNSP-RJ-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Alien 3,confirmed,SNSP-A3-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Another World,confirmed,SNSP-TW-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Axelay,confirmed,SNSP-AX-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,B.O.B.,confirmed,SNSP-B4-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Battle Clash,confirmed,SNSP-BT-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Beauty and the Beast,confirmed,SNSP-EW-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Best of the Best: Championship Karate,confirmed,SNSP-BE-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Blazing Skies,confirmed,SNSP-WG-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Bubsy,confirmed,SNSP-YN-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Bugs Bunny Rabbit Rampage,confirmed,SNSP-R7-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,ClayFighter,confirmed,SNSP-8C-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Daffy Duck: The Marvin Missions,confirmed,SNSP-YF-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Darius Twin,confirmed,SNSP-DT-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Desert Strike: Return to the Gulf,confirmed,SNSP-RG-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Donkey Kong Country,confirmed,SNSP-8X-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Donkey Kong Country 2: Diddy's Kong Quest,confirmed,SNSP-ADNP-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Donkey Kong Country 3: Dixie Kong's Double Trouble!,confirmed,SNSP-A3CP-SCN,SCN,5.0,Fotoverifisert (eske/manual),Hybrid SCN (EUR cart),False,False,,,
,Doom,confirmed,SNSP-AD8P-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Dragon's Lair,confirmed,SNSP-DI-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Exhaust Heat,confirmed,SNSP-EH-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,F-Zero,confirmed,SNSP-FZ-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,FIFA International Soccer,confirmed,SNSP-84-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Final Fight,confirmed,SNSP-FT-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Flashback,confirmed,SNSP-5F-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Gods,confirmed,SNSP-GZ-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Goof Troop,confirmed,SNSP-G6-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,HAL's Hole in One Golf,confirmed,SNSP-JO-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Illusion of Time,confirmed,SNSP-JG-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,International Superstar Soccer,confirmed,SNSP-JU-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Joe & Mac: Caveman Ninja,confirmed,SNSP-JT-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Jurassic Park,confirmed,SNSP-J8-SCN,SCN,5.0,Fotoverifisert (cart),Eske finnes også som SNSP-J8-SCN-1 (box revision).,False,False,,,
,Kick Off,confirmed,SNSP-KO-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Killer Instinct,confirmed,SNSP-AKLP-SCN,SCN,5.0,Fotoverifisert (eske+cart),Hybrid SCN (SCN eske/Bergsala; GPS cart: SNSP-AKLP-GPS),False,False,,,
,King Arthur's World,confirmed,SNSP-RC-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Krusty's Super Fun House,confirmed,SNSP-FH-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Lagoon,confirmed,SNSP-LA-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Lemmings,confirmed,SNSP-LE-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Looney Tunes Road Runner,confirmed,SNSP-DV-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Magic Sword,confirmed,SNSP-MD-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Mario Paint,confirmed,SNSP-MP-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Mega Man X,confirmed,SNSP-RX-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Mortal Kombat,confirmed,SNSP-KX-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,NBA Jam,confirmed,SNSP-8N-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,NHL 95,confirmed,SNSP-ANHP-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,NHL 97,confirmed,SNSP-AN7P-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,NHL Hockey '94,confirmed,SNSP-4H-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,NHLPA Hockey '93,confirmed,SNSP-HY-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,PGA Tour Golf,confirmed,SNSP-PG-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Pilotwings,confirmed,SNSP-PW-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Pinball Dreams,confirmed,SNSP-7D-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Pocky & Rocky,confirmed,SNSP-KK-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Prince of Persia,confirmed,SNSP-PR-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Puzzle Bobble,confirmed,SNSP-AYKP-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Rock 'N Roll Racing,confirmed,SNSP-RN-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Secret of Mana,confirmed,SNSP-K2-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Sensible Soccer European Champions,confirmed,SNSP-8S-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Shadowrun,confirmed,SNSP-WR-SCN/SSWE,SCN,5.0,Fotoverifisert (cart),SCN/SSWE dobbelmerking (språkvariant).,False,False,,,
,SimCity,confirmed,SNSP-SC-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Soul Blazer,confirmed,SNSP-SO-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Spider-Man and the X-Men Arcade's Revenge,confirmed,SNSP-MN-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Starwing,confirmed,SNSP-FO-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Street Fighter II,confirmed,SNSP-S2-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Stunt Race FX,confirmed,SNSP-CO-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Adventure Island,confirmed,SNSP-H2-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Battletank,confirmed,SNSP-SB-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Bomberman,confirmed,SNSP-H6-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Bomberman 2,confirmed,SNSP-M4-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Castlevania IV,confirmed,SNSP-AD-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Super Double Dragon,confirmed,SNSP-WD-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Ghouls 'n Ghosts,confirmed,SNSP-CM-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Mario All-Stars,confirmed,SNSP-4M-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Super Mario All-Stars + Super Mario World,confirmed,SNSP-5M-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Mario Kart,confirmed,SNSP-MK-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Mario World,confirmed,SNSP-MW-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Super Mario World 2: Yoshi's Island,confirmed,SNSP-YI-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Metroid,confirmed,SNSP-RI-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Super Off Road,confirmed,SNSP-OR-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Probotector: Alien Rebels,confirmed,SNSP-CS-SCN,SCN,5.0,Fotoverifisert (cart),,False,False,,,
,Super Punch-Out!!,confirmed,SNSP-4Q-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super R-Type,confirmed,SNSP-SR-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super SWIV,confirmed,SNSP-WJ-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Scope 6,confirmed,SNSP-LR-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Smash T.V.,confirmed,SNSP-TV-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Soccer,confirmed,SNSP-FS-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Star Wars,confirmed,SNSP-V4-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Star Wars: The Empire Strikes Back,confirmed,SNSP-E5-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Super Tennis,confirmed,SNSP-ST-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Teenage Mutant Hero Turtles IV: Turtles in Time,confirmed,SNSP-MH-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Tetris & Dr. Mario,confirmed,SNSP-ATFP-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Addams Family,confirmed,SNSP-AF-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Flintstones: The Treasure of Sierra Madrock,confirmed,SNSP-9F-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Great Circus Mystery Starring Mickey & Minnie,confirmed,SNSP-4C-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Jungle Book,confirmed,SNSP-7K-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Legend of Zelda: A Link to the Past,confirmed,SNSP-ZL-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Lion King,confirmed,SNSP-ALKP-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Lost Vikings,confirmed,SNSP-LV-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Magical Quest Starring Mickey Mouse,confirmed,SNSP-MI-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,The Simpsons: Bart's Nightmare,confirmed,SNSP-BN-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Tintin i Tibet,confirmed,SNSP-AT6X-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Tiny Toon Adventures: Buster Busts Loose!,confirmed,SNSP-TA-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Top Gear,confirmed,SNSP-TR-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,U.N. Squadron,confirmed,SNSP-E8-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Unirally,confirmed,SNSP-4L-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Val d'Isère Championship,confirmed,SNSP-8V-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,WWF Super WrestleMania,confirmed,SNSP-WF-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,World Cup USA 94,confirmed,SNSP-U4-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Winter Olympic Games: Lillehammer '94,confirmed,SNSP-W4-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,World Cup Striker,confirmed,SNSP-5W-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,World League Basketball,confirmed,SNSP-LB-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,X-Zone,confirmed,SNSP-XZ-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Yogi Bear's Cartoon Capers,confirmed,SNSP-Y8-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Young Merlin,confirmed,SNSP-Y6-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Zero the Kamikaze Squirrel,confirmed,SNSP-AZKP-SCN,SCN,,,Photo verified SCN cartridge,False,False,SNES,cartridge photo,yes
,Nigel Mansell's World Championship Racing,uncertain,,,,Research – no photo-confirmed SCN version found,No verified SCN cartridge found (add to unconfirmed/uncertain section),False,False,SNES,research,no
