id,title,category,code,variant,stars,sources,notes,owned,wanted
,"Addams Family, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Adventure Island II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Adventures in the Magic Kingdom,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Adventures of Bayou Billy, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Adventures of Lolo,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Adventures of Lolo 3,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Adventures of Lolo II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Adventures of Rad Gravity, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Aladdin,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Anticipation,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Athletic World,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Balloon Fight,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Barker Bill’s Trick Shooting,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Batman The Video Game,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Batman – Return of the Joker,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Battle of Olympus, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Battletoads,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Bigfoot,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Bionic Commando,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Blades of Steel,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Blaster Master,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Blue Shadow,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Bubble Bobble,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Bucky O’Hare,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Capcom’s Gold Medal Challenge ’92,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Captain Planet and the Planeteers,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Castlevania,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Castlevania II Simon’s Quest,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Castlevania III: Dracula’s Curse,confirmed,,SCN,4,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Chessmaster, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Chip’n Dale – Rescue Rangers,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Chip’n Dale – Rescue Rangers 2,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Clu Clu Land,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Cobra Triangle,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Darkwing Duck,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Days of Thunder,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Defender of the Crown,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Devil World,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Die Hard,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Donkey Kong,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Donkey Kong 3,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Donkey Kong Classics,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Donkey Kong Jr.,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Double Dragon II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Double Dragon III,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Double Dribble,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Dr.Mario,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Dragon’s Lair,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Duck Hunt,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,DuckTales,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,DuckTales 2,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Déjà Vu,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Eliminator Boat Duel,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Excite Bike,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,F-15 Strike Eagle,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Faxanadu,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Fester’s Quest,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Flintstones – The Rescue of Dino & Hoppy, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Flintstones – The Surprise at Dinosaur Peak, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gargoyle’s Quest II – The Demon Darkness,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gauntlet II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ghostbusters II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ghost’n Goblins,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Golf,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Goonies II, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gradius,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gremlins 2 – The New Batch,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Guardian Legend, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gumshoe,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Gun.Smoke,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Hogan’s Alley,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ice Climber,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ice Hockey,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ikari Warriors,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Incredible Crash Dummies, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ivan “Ironman” Stewart’s Super Off Road,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Jack Nicklaus’ Greatest 18 Holes of Major Championship Golf,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Jetsons – Cogswell’s Caper!, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Joe & Mac: Caveman Ninja,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Journey to Silius,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Jungle Book, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Jurassic Park,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Kabuki – Quantum Fighter,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Kick Off,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Kid Icarus,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Kirby’s Adventure,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Knight Rider,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Kung Fu,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Lee Trevino’s Fighting Golf,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,"Legend of Zelda, The",confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Lemmings,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Life Force,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Lion King,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Little Nemo the Dream Master,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Little Samson,confirmed,,SCN,5,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mach Rider,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Maniac Mansion,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mario & Yoshi,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mario Bros.,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,McDonaldland,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mega Man,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mega Man 5,confirmed,,SCN,5,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mega Man II,confirmed,,SCN,3,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mega Man III,confirmed,,SCN,3,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mega Man IV,confirmed,,SCN,3,Spillmuseet SCN-liste (ikke ESP),,false,false
,Metal Gear,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Metroid,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mike Tyson’s Punch-Out!!,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mission: Impossible,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Mr. Gimmick,confirmed,,SCN,5,Spillmuseet SCN-liste (ikke ESP),,false,false
,NES Open Tournament Golf,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Nintendo World Cup,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,North & South,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Paperboy,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Pinball,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Popeye,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Power Blade,confirmed,,SCN,4,Spillmuseet SCN-liste (ikke ESP),,false,false
,Prince of Persia,confirmed,,SCN,4,Spillmuseet SCN-liste (ikke ESP),,false,false
,Pro Wrestling,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Probotector,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Punch-Out!!,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Puzznic,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,R.C. Pro-Am,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,R.C. Pro-Am II,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rad Racer,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rescue – The Embassy Mission,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Road Fighter,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Robin Hood: Prince of Thieves,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Robo Warrior,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,RoboCop,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rockin’ Kats,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rollergames,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rush’n Attack,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Rygar,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Section-Z,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Shadow Warriors,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Shadowgate,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Shatterhand,confirmed,,SCN,4,Spillmuseet SCN-liste (ikke ESP),,false,false
,Side Pocket,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Silent Service,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Simpsons: Bart vs. the Space Mutants,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Simpsons: Bart vs. the World,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Skate or Die!,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Ski or Die,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Slalom,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Snake Rattle N Roll,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Snake’s Revenge,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
,Soccer,confirmed,,SCN,2,Spillmuseet SCN-liste (ikke ESP),,false,false
